TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
FI;00.826.903/0001-26;CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;Cotas de Fundos;0;0;285867313;;2022-03-31
FI;00.828.035/0001-13;FATOR MAX CORPORATIVO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;2021-12-31;Cotas de Fundos;0;0;6617903;;2022-03-31
FI;00.828.035/0001-13;FATOR MAX CORPORATIVO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;2021-12-31;Debêntures;0;0;8223648;;2022-03-31
FI;00.828.035/0001-13;FATOR MAX CORPORATIVO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;2021-12-31;Disponibilidades;;;10532;;2022-03-31
FI;00.828.035/0001-13;FATOR MAX CORPORATIVO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;2021-12-31;Operações Compromissadas;;;6690909;;2022-03-31
FI;00.828.035/0001-13;FATOR MAX CORPORATIVO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;2021-12-31;Títulos Públicos;8624849;557674;49689707;;2022-03-31
FI;00.828.035/0001-13;FATOR MAX CORPORATIVO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;2021-12-31;Valores a pagar;;;914568;;2022-03-31
FI;00.828.035/0001-13;FATOR MAX CORPORATIVO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;2021-12-31;Valores a receber;;;862435;;2022-03-31
FI;00.833.458/0001-21;FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO;2021-12-31;Cotas de Fundos;0;0;23149343;;2022-03-31
FI;00.833.458/0001-21;FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO;2021-12-31;Depósitos a prazo e outros títulos de IF;0;0;807179;;2022-03-31
FI;00.833.458/0001-21;FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO;2021-12-31;Disponibilidades;;;1141859;;2022-03-31
FI;00.833.458/0001-21;FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO;2021-12-31;Opções - Posições lançadas;0;0;26160;;2022-03-31
FI;00.833.458/0001-21;FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO;2021-12-31;Operações Compromissadas;;;6848866;;2022-03-31
FI;00.833.458/0001-21;FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO;2021-12-31;Títulos Públicos;0;0;4044255;;2022-03-31
FI;00.833.458/0001-21;FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO;2021-12-31;Valores a pagar;;;10772;;2022-03-31
FI;00.833.458/0001-21;FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO;2021-12-31;Valores a receber;;;3899;;2022-03-31
FI;00.833.458/0001-21;FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO;2021-12-31;Vendas a termo a receber;0;;1627287;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Cotas de Fundos;;;11319832;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Debêntures;;;69816285;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Depósitos a prazo e outros títulos de IF;;;24291732;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Disponibilidades;;;11379;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Mercado Futuro - Posições compradas;;;0;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Mercado Futuro - Posições vendidas;;;0;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Opções - Posições lançadas;;;63;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Opções - Posições titulares;;;63;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Operações Compromissadas;;;51704437;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Títulos Públicos;4461740;4456447;42925069;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Valores a pagar;;;169490;;2022-03-31
FI;00.836.263/0001-35;BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO;2021-12-31;Valores a receber;;;24505;;2022-03-31
FI;00.838.868/0001-65;ITAÚ PRIVATE SPECIAL MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO;2021-12-31;Cotas de Fundos;0;0;68171;;2022-03-31
FI;00.838.868/0001-65;ITAÚ PRIVATE SPECIAL MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO;2021-12-31;Disponibilidades;;;26669;;2022-03-31
FI;00.838.868/0001-65;ITAÚ PRIVATE SPECIAL MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO;2021-12-31;Títulos Públicos;0;0;5283036;;2022-03-31
FI;00.838.868/0001-65;ITAÚ PRIVATE SPECIAL MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO;2021-12-31;Valores a pagar;;;7521;;2022-03-31
FI;00.838.868/0001-65;ITAÚ PRIVATE SPECIAL MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO;2021-12-31;Valores a receber;;;73;;2022-03-31
FI;00.840.011/0001-80;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;2021-12-31;Cotas de Fundos;;;101503152;;2022-03-31
FI;00.840.011/0001-80;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;2021-12-31;Debêntures;;;280503259;;2022-03-31
FI;00.840.011/0001-80;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;2021-12-31;Depósitos a prazo e outros títulos de IF;;;1121969978;;2022-03-31
FI;00.840.011/0001-80;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;2021-12-31;Mercado Futuro - Posições vendidas;;;-116179;;2022-03-31
FI;00.840.011/0001-80;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;2021-12-31;Outros valores mobiliários registrados na CVM objeto de oferta pública;;;31084731;;2022-03-31
FI;00.840.011/0001-80;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;2021-12-31;Títulos Públicos;4502410949;4500848575;11258286;;2022-03-31
FI;00.856.171/0001-17;SANTANDER FUNDO DE INVESTIMENTO E MULTIMERCADO;2021-12-31;Disponibilidades;;;9000;;2022-03-31
FI;00.856.171/0001-17;SANTANDER FUNDO DE INVESTIMENTO E MULTIMERCADO;2021-12-31;Mercado Futuro - Posições compradas;;;-6361;;2022-03-31
FI;00.856.171/0001-17;SANTANDER FUNDO DE INVESTIMENTO E MULTIMERCADO;2021-12-31;Mercado Futuro - Posições vendidas;;;14237;;2022-03-31
FI;00.856.171/0001-17;SANTANDER FUNDO DE INVESTIMENTO E MULTIMERCADO;2021-12-31;Operações Compromissadas;;;132093957;;2022-03-31
FI;00.856.171/0001-17;SANTANDER FUNDO DE INVESTIMENTO E MULTIMERCADO;2021-12-31;Títulos Públicos;0;0;3772924;;2022-03-31
FI;00.856.171/0001-17;SANTANDER FUNDO DE INVESTIMENTO E MULTIMERCADO;2021-12-31;Valores a pagar;;;21385;;2022-03-31
FI;00.856.171/0001-17;SANTANDER FUNDO DE INVESTIMENTO E MULTIMERCADO;2021-12-31;Valores a receber;;;315;;2022-03-31
FI;00.856.751/0001-04;NÚCLEOS V SUL AMÉRICA ALM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2021-12-31;Disponibilidades;;;1000;;2022-03-31
FI;00.856.751/0001-04;NÚCLEOS V SUL AMÉRICA ALM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2021-12-31;Mercado Futuro - Posições compradas;;;190;;2022-03-31
FI;00.856.751/0001-04;NÚCLEOS V SUL AMÉRICA ALM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2021-12-31;Operações Compromissadas;;;2861380;;2022-03-31
FI;00.856.751/0001-04;NÚCLEOS V SUL AMÉRICA ALM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2021-12-31;Títulos Públicos;4900452;105360315;440971122;;2022-03-31
FI;00.856.751/0001-04;NÚCLEOS V SUL AMÉRICA ALM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2021-12-31;Valores a pagar;;;77259;;2022-03-31
FI;00.856.751/0001-04;NÚCLEOS V SUL AMÉRICA ALM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2021-12-31;Valores a receber;;;460;;2022-03-31
FI;00.888.897/0001-31;BTG PACTUAL HEDGE FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Mercado Futuro - Posições compradas;;;-250;;2022-03-31
FI;00.888.897/0001-31;BTG PACTUAL HEDGE FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Mercado Futuro - Posições vendidas;;;152003;;2022-03-31
FI;00.888.897/0001-31;BTG PACTUAL HEDGE FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Opções - Posições lançadas;;;3782;;2022-03-31
FI;00.888.897/0001-31;BTG PACTUAL HEDGE FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Opções - Posições titulares;;;1318;;2022-03-31
FI;01.214.092/0001-75;BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Mercado Futuro - Posições compradas;;;138634;;2022-03-31
FI;01.214.092/0001-75;BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Mercado Futuro - Posições vendidas;;;3018234;;2022-03-31
FI;01.214.092/0001-75;BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Opções - Posições lançadas;;;90918;;2022-03-31
FI;01.214.092/0001-75;BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Opções - Posições titulares;;;31694;;2022-03-31
FI;01.536.201/0001-70;TARGET D - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;Cotas de Fundos;0;0;12552508;;2022-03-31
FI;01.536.201/0001-70;TARGET D - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;Depósitos a prazo e outros títulos de IF;0;0;18403995;;2022-03-31
FI;01.536.201/0001-70;TARGET D - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;Disponibilidades;;;53742;;2022-03-31
FI;01.536.201/0001-70;TARGET D - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;Operações Compromissadas;;;18368521;;2022-03-31
FI;01.536.201/0001-70;TARGET D - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;Títulos Públicos;0;0;89364836;;2022-03-31
FI;01.536.201/0001-70;TARGET D - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;Valores a pagar;;;53552;;2022-03-31
FI;01.536.201/0001-70;TARGET D - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2021-12-31;Valores a receber;;;315;;2022-03-31
FI;01.608.399/0001-50;CSHG TOP AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2021-12-31;Cotas de Fundos;0;0;194915879;;2022-03-31
FI;01.624.283/0001-05;ICATU VANGUARDA FUNDO DE INVESTIMENTO MULTIMERCADO FEF CD;2021-12-31;Cotas de Fundos;;;14532285;;2022-03-31
FI;01.624.283/0001-05;ICATU VANGUARDA FUNDO DE INVESTIMENTO MULTIMERCADO FEF CD;2021-12-31;Debêntures;;;4488682;;2022-03-31
FI;01.624.283/0001-05;ICATU VANGUARDA FUNDO DE INVESTIMENTO MULTIMERCADO FEF CD;2021-12-31;Depósitos a prazo e outros títulos de IF;;;1058763;;2022-03-31
FI;01.624.283/0001-05;ICATU VANGUARDA FUNDO DE INVESTIMENTO MULTIMERCADO FEF CD;2021-12-31;Disponibilidades;;;10768;;2022-03-31
FI;01.624.283/0001-05;ICATU VANGUARDA FUNDO DE INVESTIMENTO MULTIMERCADO FEF CD;2021-12-31;Mercado Futuro - Posições compradas;;;0;;2022-03-31
FI;01.624.283/0001-05;ICATU VANGUARDA FUNDO DE INVESTIMENTO MULTIMERCADO FEF CD;2021-12-31;Mercado Futuro - Posições vendidas;;;0;;2022-03-31
FI;01.624.283/0001-05;ICATU VANGUARDA FUNDO DE INVESTIMENTO MULTIMERCADO FEF CD;2021-12-31;Opções - Posições lançadas;;;1;;2022-03-31
FI;01.624.283/0001-05;ICATU VANGUARDA FUNDO DE INVESTIMENTO MULTIMERCADO FEF CD;2021-12-31;Opções - Posições titulares;;;1;;2022-03-31
FI;01.624.283/0001-05;ICATU VANGUARDA FUNDO DE INVESTIMENTO MULTIMERCADO FEF CD;2021-12-31;Títulos Públicos;0;6573746;95610924;;2022-03-31
FI;01.624.283/0001-05;ICATU VANGUARDA FUNDO DE INVESTIMENTO MULTIMERCADO FEF CD;2021-12-31;Valores a pagar;;;35092;;2022-03-31
FI;01.624.283/0001-05;ICATU VANGUARDA FUNDO DE INVESTIMENTO MULTIMERCADO FEF CD;2021-12-31;Valores a receber;;;72416;;2022-03-31
FI;01.626.956/0001-66;ITAÚ K2 MULTIMERCADO - FUNDO DE INVESTIMENTO;2021-12-31;Valores a pagar;;;92203;;2022-03-31
FI;01.631.246/0001-24;CONSERVADOR FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Cotas de Fundos;0;0;92081048;;2022-03-31
FI;01.631.246/0001-24;CONSERVADOR FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Disponibilidades;;;5000;;2022-03-31
FI;01.631.246/0001-24;CONSERVADOR FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Títulos Públicos;0;0;1641145;;2022-03-31
FI;01.631.246/0001-24;CONSERVADOR FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Valores a pagar;;;14106;;2022-03-31
FI;01.631.246/0001-24;CONSERVADOR FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;Valores a receber;;;3229;;2022-03-31
