TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ
FACFIF;06.537.068/0001-90;AMAZÔNIA CREDIT 90 - FUNDO DE APLICAÇÃO EM QUOTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;1297.81
FACFIF;07.408.147/0001-64;FUNDO AMAZONIA DE APLICAÇÃO EM COTAS DE FUNDO DE INVESTIMENTO-AMAZONIA MIX "2";2021-12-31;25995.56
FAPI;02.010.153/0001-45;BB FAPI FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2021-12-31;16516667.18
FAPI;02.177.812/0001-32;ITAU FAPI RENDA FIXA - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2021-12-31;64886742.46
FAPI;02.177.815/0001-76;ITAU FAPI CONSERVADOR - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2021-12-31;1943239.98
FAPI;02.185.027/0001-21;BRADESCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL FAPI FIX;2021-12-31;458722609.36
FAPI;02.226.122/0001-26;UNIBANCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL CONSERVADOR;2021-12-31;4651.25
FAPI;02.297.533/0001-02;BRADESCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL FAPI RENDA FIXA PLUS;2021-12-31;15458352.75
FAPI;02.661.252/0001-97;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;2021-12-31;2406973.60
FAPI;02.661.267/0001-55;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL BALANCED IB;2021-12-31;8081482.23
FAPI;02.661.317/0001-02;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL CAPITAL PRESERVATION IB;2021-12-31;8338184.12
FAPI;02.661.339/0001-64;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL CONSERVATIVE IB;2021-12-31;11348360.13
FAPI;03.564.825/0001-27;SICREDI FAPI COMPOSTO - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2021-12-31;82298163.48
FAPI;04.785.314/0001-06;FAPI BANRISUL CONSERVADOR;2021-12-31;10730914.11
FAPI;10.546.592/0001-03;SICREDI FAPI RENDA FIXA FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2021-12-31;65560262.39
FI;00.017.024/0001-53;FUNDO DE INVESTIMENTO RENDA FIXA EXPONENCIAL;2021-12-31;1078135.43
FI;00.068.305/0001-35;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA EMPREENDER RENDA FIXA LONGO PRAZO;2021-12-31;38757340.16
FI;00.071.477/0001-68;BB RENDA FIXA AUTOMÁTICO EMPRESA SIMPLES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;34385750842.51
FI;00.073.041/0001-08;BB BESC RENDA FIXA PRÁTICO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO;2021-12-31;13788377.04
FI;00.083.181/0001-67;OPP I FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I INVESTIMENTO NO EXTERIOR;2021-12-31;17394220749.49
FI;00.089.915/0001-15;AMARIL FRANKLIN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;15674186.18
FI;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR;2021-12-31;76820619.21
FI;00.180.995/0001-10;SAFRA EXECUTIVE MAX RF FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;216294641.42
FI;00.185.259/0001-54;OPPORTUNITY LOGICA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES;2021-12-31;648052672.09
FI;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO EM RENDA FIXA;2021-12-31;4624126607.09
FI;00.211.294/0001-09;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO EUCALIPTO;2021-12-31;2381560921.17
FI;00.222.725/0001-24;SANTANDER RENDA FIXA CRESCIMENTO CENTRUM FIC FI;2021-12-31;87015055.74
FI;00.222.816/0001-60;SAFRA EXECUTIVE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA;2021-12-31;2401883751.70
FI;00.280.302/0001-60;BRADESCO H FICFI RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO TIPO;2021-12-31;522067002.76
FI;00.306.278/0001-91;BRADESCO FIC DE FI RENDA FIXA REFERENCIADO DI;2021-12-31;2193135559.82
FI;00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2021-12-31;2793445572.44
FI;00.346.750/0001-10;NECTON FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;14628829.88
FI;00.360.293/0001-18;BB RENDA FIXA DIVIDA EXTERNA MIL FUNDO INVESTIMENTO;2021-12-31;155128459.04
FI;00.398.561/0001-90;PORTO SEGURO AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;163337917.72
FI;00.400.490/0001-13;PORTO SEGURO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;311947881.70
FI;00.463.569/0001-93;BRADESCO PRIVATE FUNDO DE INVESTIMENTO EM AÇÕES IBOVESPA ALAVANCADO;2021-12-31;22918435.15
FI;00.524.617/0001-06;CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;127003520.23
FI;00.539.553/0001-17;SELEÇÃO GUIDE CASH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉD PRIVA;2021-12-31;260544074.64
FI;00.575.922/0001-27;ALFA AÇÕES PREMIUM - FUNDO DE INVESTIMENTO EM AÇÕES;2021-12-31;48090517.87
FI;00.598.452/0001-17;MB MASTER REFERENCIADO DI LONGO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO;2021-12-31;29092951.17
FI;00.601.692/0001-23;FAMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES;2021-12-31;195716230.74
FI;00.743.026/0001-20;BANRISUL VIP FUNDO DE INVESTIMENTO RENDA FIXA DE LONGO PRAZO;2021-12-31;84669537.76
FI;00.756.851/0001-69;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;5491066435.84
FI;00.777.815/0001-81;BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO FUNCIONÁRIO;2021-12-31;173680342.58
FI;00.785.365/0001-79;ITAÚ MONEY MARKET RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;53657694.48
FI;00.793.947/0001-05;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA VÊNUS;2021-12-31;69087863.89
FI;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2021-12-31;249646089.59
FI;00.809.773/0001-13;BRADESCO H FICFI RENDA FIXA CURTO PRAZO OVER;2021-12-31;66583193.67
FI;00.812.433/0001-41;BNB AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2021-12-31;2247650235.22
FI;00.813.340/0001-31;SANTANDER FIC FI EXTRA RENDA FIXA REFERENCIADO DI;2021-12-31;49432654.72
FI;00.813.342/0001-20;SANTANDER RF REFERENCIADO DI MAIS 2 FIC FI;2021-12-31;915203885.74
FI;00.817.201/0001-86;ITAÚ RENDA FIXA PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;18079019.94
FI;00.817.677/0001-17;WESTERN ASSET ALPHA CREDIT RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2021-12-31;304555048.90
FI;00.819.855/0001-49;WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL;2021-12-31;1436313.99
FI;00.819.858/0001-82;WESTERN ASSET RF ATIVO SILVER FIC FI RENDA FIXA;2021-12-31;1321414.09
FI;00.819.875/0001-10;WESTERN ASSET DI RENDA FIXA REFERENCIADO FI;2021-12-31;205716218.92
FI;00.819.880/0001-22;WESTERN ASSET CÂMBIO DOLAR PRIME FICFI CAMBIAL;2021-12-31;36795832.65
FI;00.819.889/0001-33;WESTERN ASSET HEDGE DÓLAR FUNDO DE INVESTIMENTO CAMBIAL;2021-12-31;115431941.90
FI;00.819.901/0001-00;WESTERN ASSET DI SILVER FIC FI RENDA FIXA REFERENCIADO;2021-12-31;5368301.22
FI;00.819.915/0001-23;WESTERN ASSET DI EXCELLENT FICFI RENDA FIXA REFERENCIADO;2021-12-31;131424661.96
FI;00.819.929/0001-47;WESTERN ASSET DI PLUS FICFI RENDA FIXA REFERENCIADO;2021-12-31;12220507.36
FI;00.822.055/0001-87;BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2021-12-31;91438786685.24
FI;00.822.059/0001-65;BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;177240612.88
FI;00.822.933/0001-64;ITAÚ B RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;907017.53
FI;00.822.954/0001-80;ITAÚ B CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;400452669.42
FI;00.824.198/0001-28;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI FEDERAL;2021-12-31;74022520.50
FI;00.825.076/0001-56;PRATICBEC FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2021-12-31;993423.98
FI;00.825.077/0001-09;BECMAXI - FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;6096789.41
FI;00.826.901/0001-37;CSHG DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO;2021-12-31;33117440.78
FI;00.826.903/0001-26;CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;285820796.40
FI;00.826.907/0001-04;ITAÚ MEDIUM TERM CAPITAL FIX RENDA FIXA REFERENCIADO DI FDO DE INVESTO EM COTAS DE FDOS DE INVEST;2021-12-31;33581476.59
FI;00.826.911/0001-72;GOLDEN DI - RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;8219442.93
FI;00.828.035/0001-13;FATOR MAX CORPORATIVO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;2021-12-31;71180569.28
FI;00.828.941/0001-18;ITAU ADVANTAGE RENDA FIXA REFERENCIADO DI FICFI;2021-12-31;3615445.34
FI;00.829.163/0001-81;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO MULTIPERFORMANCE;2021-12-31;8314176.63
FI;00.829.280/0001-45;ITAÚ RENDA FIXA - FUNDO DE INVESTIMENTO;2021-12-31;3139243587.78
FI;00.829.282/0001-34;ITAÚ EMPRESA RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;26497634.82
FI;00.829.288/0001-01;ITAÚ PRIVATE RENDA FIXA REFERENCIADO DI EXCLUSIVE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVEST;2021-12-31;2785799720.99
FI;00.829.292/0001-70;ITAÚ CORP RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;757472873.49
FI;00.832.407/0001-85;ITAÚ FRANCÊS RENDA FIXA - FUNDO DE INVESTIMENTO;2021-12-31;6387561089.30
FI;00.832.414/0001-87;ITAÚ RENDA FIXA REFERENCIADO DI PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;924326181.18
FI;00.832.424/0001-12;ITAÚ PERSONNALITÉ RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;3420132.82
FI;00.832.431/0001-14;ITAÚ PERSONNALITÉ RENDA FIXA PLUS - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;36137190.78
FI;00.832.435/0001-00;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO;2021-12-31;1663005755.26
FI;00.832.443/0001-49;ITAÚ BBA RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-12-31;83856692.70
FI;00.832.445/0001-38;ITAU RENDA FIXA REFERENCIADO DI - FDO DE INVEST EM COTAS DE FDOS DE INVEST;2021-12-31;300550979.89
FI;00.832.453/0001-84;CSHG DI FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2021-12-31;4824623.29
FI;00.832.587/0001-03;BRB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM RENDA FIXA DI LONGO PRAZO HIPER;2021-12-31;75706216.93
FI;00.832.588/0001-40;FUNDO DE INVESTIMENTO EM RENDA FIXA BRB LIQUIDEZ;2021-12-31;51513473.17
FI;00.832.696/0001-12;SANTANDER RF CRESCIMENTO VIP FIC FI;2021-12-31;34308162.26
FI;00.833.458/0001-21;FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO;2021-12-31;37585759.27
FI;00.834.072/0001-34;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA BETA RENDA FIXA REF DI LONGO PRAZO;2021-12-31;163771121.90
FI;00.834.074/0001-23;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PRÁTICO RENDA FIXA CURTO PRAZO;2021-12-31;29201062125.85
FI;00.836.258/0001-22;FUNDO DE INVESTIMENTO MULTIMERCADO CHALLENGER;2021-12-31;178666979.61
